"001","002","003","004","005","006","007","008","009","010","011"
"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
"61","02-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","25","215","NA"
"61","05-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","24","177","NA"
"61","07-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","30","201","NA"
"61","09-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","24","106","NA"
"61","12-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","24","111","NA"
"61","14-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","NA","NA","49","NA"
"61","16-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","31","67","NA"
"61","19-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","31","103","NA"
"61","23-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","25","66","NA"
"61","28-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","24","59","NA"
"61","30-01-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","27","76","NA"
"61","02-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","28","185","NA"
"61","04-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","29","38","NA"
"61","06-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","28","103","NA"
"61","09-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","30","60","NA"
"61","11-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","31","130","NA"
"61","13-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","28","89","NA"
"61","16-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","23","146","NA"
"61","18-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","29","156","NA"
"61","20-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","29","45","NA"
"61","23-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","30","147","NA"
"61","25-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","14","33","155","NA"
"61","27-02-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","29","110","NA"
"61","04-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","27","105","NA"
"61","09-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","29","47","NA"
"61","11-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","33","196","NA"
"61","13-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","25","36","NA"
"61","16-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","23","22","NA"
"61","18-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","24","25","NA"
"61","20-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","24","45","NA"
"61","25-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","27","43","NA"
"61","27-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","27","38","NA"
"61","30-03-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","14","21","47","NA"
"61","01-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","21","78","NA"
"61","06-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","24","107","NA"
"61","08-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","19","86","NA"
"61","10-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","22","38","NA"
"61","13-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","25","83","NA"
"61","15-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","29","113","NA"
"61","17-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","25","82","NA"
"61","20-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","26","192","NA"
"61","22-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","32","90","NA"
"61","24-04-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","31","98","NA"
