,Time,AQI
,Mon Dec 12 2016 10:50:00 GMT+0000 (UTC),436
,Sun Oct 23 2016 19:00:00 GMT+0000 (UTC),318
,Sat Oct 15 2016 16:30:00 GMT+0000 (UTC),303
,Mon Nov 07 2016 14:30:00 GMT+0000 (UTC),352
,Tue Nov 08 2016 07:00:00 GMT+0000 (UTC),500
,Mon Oct 03 2016 09:00:00 GMT+0000 (UTC),141
,Wed Dec 21 2016 13:50:00 GMT+0000 (UTC),303
,Wed Nov 09 2016 16:00:00 GMT+0000 (UTC),319
,Wed Nov 09 2016 22:30:00 GMT+0000 (UTC),500
,Wed Dec 28 2016 02:50:00 GMT+0000 (UTC),484
,Fri Nov 25 2016 02:50:00 GMT+0000 (UTC),353
,Fri Nov 25 2016 09:50:00 GMT+0000 (UTC),336
,Tue Dec 27 2016 08:20:00 GMT+0000 (UTC),411
,Tue Dec 27 2016 07:50:00 GMT+0000 (UTC),371
,Thu Oct 13 2016 02:30:00 GMT+0000 (UTC),283
,Mon Nov 07 2016 19:00:00 GMT+0000 (UTC),311
,Wed Nov 09 2016 11:00:00 GMT+0000 (UTC),500
,Fri Sep 30 2016 10:10:00 GMT+0000 (UTC),161
,Fri Oct 14 2016 23:00:00 GMT+0000 (UTC),318
,Fri Dec 09 2016 04:20:00 GMT+0000 (UTC),335
,Tue Dec 06 2016 06:20:00 GMT+0000 (UTC),400
,Thu Oct 27 2016 04:30:00 GMT+0000 (UTC),498
,Thu Oct 27 2016 03:30:00 GMT+0000 (UTC),478
,Tue Dec 20 2016 01:50:00 GMT+0000 (UTC),341
,Fri Nov 11 2016 04:00:00 GMT+0000 (UTC),500
,Thu Dec 08 2016 17:50:00 GMT+0000 (UTC),309
,Sun Dec 11 2016 03:20:00 GMT+0000 (UTC),354
,Sun Oct 16 2016 20:30:00 GMT+0000 (UTC),176
,Sun Dec 25 2016 04:20:00 GMT+0000 (UTC),318
,Fri Oct 14 2016 12:00:00 GMT+0000 (UTC),133
,Sun Dec 18 2016 18:20:00 GMT+0000 (UTC),293
,Tue Oct 25 2016 01:00:00 GMT+0000 (UTC),365
,Thu Dec 22 2016 23:20:00 GMT+0000 (UTC),895
,Sat Nov 05 2016 10:30:00 GMT+0000 (UTC),500
,Tue Nov 29 2016 10:20:00 GMT+0000 (UTC),500
,Sat Nov 26 2016 22:50:00 GMT+0000 (UTC),287
,Fri Dec 16 2016 15:20:00 GMT+0000 (UTC),293
,Wed Oct 26 2016 05:40:00 GMT+0000 (UTC),343
,Fri Nov 11 2016 14:30:00 GMT+0000 (UTC),348
,Mon Nov 07 2016 16:00:00 GMT+0000 (UTC),307
,Wed Oct 12 2016 19:30:00 GMT+0000 (UTC),185
,Mon Nov 28 2016 19:20:00 GMT+0000 (UTC),256
,Thu Dec 22 2016 15:45:00 GMT+0000 (UTC),311
,Thu Dec 22 2016 15:20:00 GMT+0000 (UTC),311
,Thu Nov 17 2016 12:10:00 GMT+0000 (UTC),252
,Wed Oct 19 2016 17:30:00 GMT+0000 (UTC),107
,Sun Nov 27 2016 07:50:00 GMT+0000 (UTC),316
,Fri Nov 25 2016 08:50:00 GMT+0000 (UTC),319
,Wed Dec 07 2016 17:50:00 GMT+0000 (UTC),217
,Thu Nov 10 2016 07:30:00 GMT+0000 (UTC),398
,Sat Oct 08 2016 12:10:00 GMT+0000 (UTC),146
,Fri Oct 07 2016 13:00:00 GMT+0000 (UTC),127
,Sat Nov 26 2016 12:20:00 GMT+0000 (UTC),208
,Sun Dec 25 2016 09:20:00 GMT+0000 (UTC),383
,Mon Jan 04 2016 22:45:00 GMT+0000 (UTC),473
,Tue Jan 05 2016 04:25:00 GMT+0000 (UTC),746
,Tue Jan 05 2016 06:00:00 GMT+0000 (UTC),590
,Tue Jan 05 2016 09:05:00 GMT+0000 (UTC),302
,Tue Jan 05 2016 11:00:00 GMT+0000 (UTC),302
,Tue Jan 05 2016 20:20:00 GMT+0000 (UTC),725
,Tue Jan 05 2016 21:00:00 GMT+0000 (UTC),648
,Tue Jan 05 2016 21:20:00 GMT+0000 (UTC),648
,Tue Jan 05 2016 23:20:00 GMT+0000 (UTC),550
,Wed Jan 06 2016 00:05:00 GMT+0000 (UTC),553
,Wed Jan 06 2016 02:45:00 GMT+0000 (UTC),721
,Wed Jan 06 2016 06:40:00 GMT+0000 (UTC),358
,Wed Jan 06 2016 12:00:00 GMT+0000 (UTC),360
,Wed Jan 06 2016 12:20:00 GMT+0000 (UTC),360
,Wed Jan 06 2016 13:45:00 GMT+0000 (UTC),475
,Wed Jan 06 2016 14:15:00 GMT+0000 (UTC),475
,Wed Jan 06 2016 15:45:00 GMT+0000 (UTC),819
,Wed Jan 06 2016 21:05:00 GMT+0000 (UTC),446
,Tue Jan 12 2016 20:40:00 GMT+0000 (UTC),382
,Wed Jan 13 2016 12:50:00 GMT+0000 (UTC),446
,Thu Jan 14 2016 07:55:00 GMT+0000 (UTC),363
,Thu Jan 14 2016 10:30:00 GMT+0000 (UTC),376
,Thu Jan 14 2016 18:55:00 GMT+0000 (UTC),398
,Thu Jan 14 2016 20:20:00 GMT+0000 (UTC),398
,Thu Jan 14 2016 20:25:00 GMT+0000 (UTC),377
,Sat Jan 16 2016 13:55:00 GMT+0000 (UTC),345
,Sat Jan 16 2016 22:25:00 GMT+0000 (UTC),304
,Fri Feb 05 2016 19:55:00 GMT+0000 (UTC),588
,Sat Feb 06 2016 18:55:00 GMT+0000 (UTC),410
,Sat Feb 06 2016 19:15:00 GMT+0000 (UTC),410
,Sat Feb 06 2016 20:10:00 GMT+0000 (UTC),401
,Sun Feb 07 2016 00:20:00 GMT+0000 (UTC),345
,Sun Feb 07 2016 12:35:00 GMT+0000 (UTC),237
,Sun Feb 07 2016 13:20:00 GMT+0000 (UTC),237
,Sun Feb 07 2016 15:35:00 GMT+0000 (UTC),311
,Sun Feb 07 2016 17:35:00 GMT+0000 (UTC),263
,Sun Feb 07 2016 18:35:00 GMT+0000 (UTC),237
,Sun Feb 07 2016 21:35:00 GMT+0000 (UTC),253
,Sun Feb 07 2016 22:20:00 GMT+0000 (UTC),253
,Mon Feb 08 2016 06:45:00 GMT+0000 (UTC),133
,Mon Feb 08 2016 07:25:00 GMT+0000 (UTC),166
,Mon Feb 08 2016 08:20:00 GMT+0000 (UTC),196
,Mon Feb 08 2016 10:40:00 GMT+0000 (UTC),184
,Mon Feb 08 2016 11:15:00 GMT+0000 (UTC),164
,Mon Feb 08 2016 12:45:00 GMT+0000 (UTC),167
,Mon Feb 08 2016 15:20:00 GMT+0000 (UTC),240
,Mon Feb 08 2016 21:40:00 GMT+0000 (UTC),363
,Tue Feb 09 2016 00:00:00 GMT+0000 (UTC),355
,Tue Feb 09 2016 03:00:00 GMT+0000 (UTC),466
,Tue Feb 09 2016 04:20:00 GMT+0000 (UTC),390
,Tue Feb 09 2016 12:40:00 GMT+0000 (UTC),247
,Tue Feb 09 2016 13:40:00 GMT+0000 (UTC),307
,Tue Feb 09 2016 19:25:00 GMT+0000 (UTC),411
,Wed Feb 10 2016 00:40:00 GMT+0000 (UTC),414
,Wed Feb 10 2016 01:20:00 GMT+0000 (UTC),414
,Wed Feb 10 2016 05:40:00 GMT+0000 (UTC),501
,Wed Feb 10 2016 20:20:00 GMT+0000 (UTC),385
,Thu Feb 11 2016 03:00:00 GMT+0000 (UTC),302
,Thu Feb 11 2016 12:40:00 GMT+0000 (UTC),234
,Thu Feb 11 2016 14:25:00 GMT+0000 (UTC),671
,Thu Feb 11 2016 19:00:00 GMT+0000 (UTC),312
,Fri Feb 12 2016 00:20:00 GMT+0000 (UTC),226
,Fri Feb 12 2016 03:00:00 GMT+0000 (UTC),372
