,Time,AQI,weekday,month,day,week
8763,Mon Jan 04 2016 18:25:00 GMT+0000 (UTC),751,1,0,04,0
7746,Tue Jan 05 2016 00:25:00 GMT+0000 (UTC),466,2,0,05,0
7745,Mon Jan 04 2016 22:05:00 GMT+0000 (UTC),539,1,0,04,0
7744,Mon Jan 04 2016 19:40:00 GMT+0000 (UTC),578,1,0,04,0
7743,Mon Jan 04 2016 17:30:00 GMT+0000 (UTC),968,1,0,04,0
11697,Mon Jan 04 2016 20:25:00 GMT+0000 (UTC),591,1,0,04,0
13340,Mon Jan 04 2016 23:05:00 GMT+0000 (UTC),473,1,0,04,0
13341,Tue Jan 05 2016 08:40:00 GMT+0000 (UTC),302,2,0,05,0
13342,Tue Jan 05 2016 12:40:00 GMT+0000 (UTC),543,2,0,05,0
13343,Tue Jan 05 2016 13:20:00 GMT+0000 (UTC),543,2,0,05,0
13344,Tue Jan 05 2016 13:45:00 GMT+0000 (UTC),725,2,0,05,0
13345,Tue Jan 05 2016 14:25:00 GMT+0000 (UTC),975,2,0,05,0
13346,Tue Jan 05 2016 15:00:00 GMT+0000 (UTC),975,2,0,05,0
13347,Tue Jan 05 2016 17:00:00 GMT+0000 (UTC),860,2,0,05,0
13348,Tue Jan 05 2016 21:25:00 GMT+0000 (UTC),596,2,0,05,0
13349,Wed Jan 06 2016 02:25:00 GMT+0000 (UTC),721,3,0,06,0
13350,Wed Jan 06 2016 03:45:00 GMT+0000 (UTC),706,3,0,06,0
13351,Wed Jan 06 2016 04:20:00 GMT+0000 (UTC),706,3,0,06,0
13352,Wed Jan 06 2016 04:25:00 GMT+0000 (UTC),779,3,0,06,0
13353,Wed Jan 06 2016 11:25:00 GMT+0000 (UTC),328,3,0,06,0
13354,Wed Jan 06 2016 20:00:00 GMT+0000 (UTC),536,3,0,06,0
13355,Wed Jan 06 2016 20:45:00 GMT+0000 (UTC),520,3,0,06,0
15888,Wed Jan 06 2016 16:05:00 GMT+0000 (UTC),819,3,0,06,0
15887,Wed Jan 06 2016 09:40:00 GMT+0000 (UTC),322,3,0,06,0
7747,Tue Jan 05 2016 07:45:00 GMT+0000 (UTC),305,2,0,05,0
15886,Wed Jan 06 2016 08:20:00 GMT+0000 (UTC),370,3,0,06,0
7748,Tue Jan 05 2016 14:20:00 GMT+0000 (UTC),725,2,0,05,0
7750,Tue Jan 05 2016 16:25:00 GMT+0000 (UTC),860,2,0,05,0
6345,Wed Jan 06 2016 12:45:00 GMT+0000 (UTC),380,3,0,06,0
6344,Wed Jan 06 2016 07:40:00 GMT+0000 (UTC),370,3,0,06,0
6343,Wed Jan 06 2016 05:20:00 GMT+0000 (UTC),779,3,0,06,0
6342,Wed Jan 06 2016 03:00:00 GMT+0000 (UTC),721,3,0,06,0
6341,Wed Jan 06 2016 01:45:00 GMT+0000 (UTC),916,3,0,06,0
6340,Tue Jan 05 2016 17:40:00 GMT+0000 (UTC),810,2,0,05,0
6339,Tue Jan 05 2016 17:20:00 GMT+0000 (UTC),860,2,0,05,0
6338,Tue Jan 05 2016 08:25:00 GMT+0000 (UTC),302,2,0,05,0
6337,Tue Jan 05 2016 07:00:00 GMT+0000 (UTC),398,2,0,05,0
6336,Tue Jan 05 2016 06:35:00 GMT+0000 (UTC),398,2,0,05,0
6335,Tue Jan 05 2016 05:45:00 GMT+0000 (UTC),590,2,0,05,0
6334,Tue Jan 05 2016 04:00:00 GMT+0000 (UTC),646,2,0,05,0
6333,Mon Jan 04 2016 22:40:00 GMT+0000 (UTC),473,1,0,04,0
6332,Mon Jan 04 2016 21:45:00 GMT+0000 (UTC),539,1,0,04,0
6331,Mon Jan 04 2016 21:05:00 GMT+0000 (UTC),591,1,0,04,0
7758,Wed Jan 06 2016 17:05:00 GMT+0000 (UTC),819,3,0,06,0
7757,Wed Jan 06 2016 16:20:00 GMT+0000 (UTC),819,3,0,06,0
7756,Wed Jan 06 2016 15:40:00 GMT+0000 (UTC),819,3,0,06,0
7755,Wed Jan 06 2016 14:00:00 GMT+0000 (UTC),475,3,0,06,0
7754,Wed Jan 06 2016 09:05:00 GMT+0000 (UTC),332,3,0,06,0
7753,Wed Jan 06 2016 06:20:00 GMT+0000 (UTC),406,3,0,06,0
7752,Wed Jan 06 2016 05:35:00 GMT+0000 (UTC),406,3,0,06,0
7751,Wed Jan 06 2016 04:05:00 GMT+0000 (UTC),706,3,0,06,0
7749,Tue Jan 05 2016 15:05:00 GMT+0000 (UTC),975,2,0,05,0
15885,Wed Jan 06 2016 07:25:00 GMT+0000 (UTC),370,3,0,06,0
15884,Wed Jan 06 2016 06:45:00 GMT+0000 (UTC),358,3,0,06,0
15883,Wed Jan 06 2016 02:20:00 GMT+0000 (UTC),916,3,0,06,0
4609,Wed Jan 06 2016 00:20:00 GMT+0000 (UTC),553,3,0,06,0
4608,Tue Jan 05 2016 20:45:00 GMT+0000 (UTC),648,2,0,05,0
4607,Tue Jan 05 2016 15:25:00 GMT+0000 (UTC),860,2,0,05,0
4606,Tue Jan 05 2016 13:05:00 GMT+0000 (UTC),543,2,0,05,0
4605,Tue Jan 05 2016 11:40:00 GMT+0000 (UTC),358,2,0,05,0
4604,Tue Jan 05 2016 08:20:00 GMT+0000 (UTC),305,2,0,05,0
4603,Tue Jan 05 2016 08:05:00 GMT+0000 (UTC),305,2,0,05,0
4602,Tue Jan 05 2016 06:20:00 GMT+0000 (UTC),590,2,0,05,0
4601,Mon Jan 04 2016 22:00:00 GMT+0000 (UTC),539,1,0,04,0
4600,Mon Jan 04 2016 21:25:00 GMT+0000 (UTC),539,1,0,04,0
4599,Mon Jan 04 2016 20:40:00 GMT+0000 (UTC),591,1,0,04,0
4598,Mon Jan 04 2016 20:05:00 GMT+0000 (UTC),578,1,0,04,0
4597,Mon Jan 04 2016 20:00:00 GMT+0000 (UTC),578,1,0,04,0
